id,dino,pasaran,wuku
,Kamis,Legi,Sinto
,Jumat,Pahing,Sinto
,Senin,Kliwon,Landep
,Kamis,Pon,Landep
,Minggu,Legi,Wukir
,Selasa,Pon,Wukir
,Rabu,Wage,Wukir
,Sabtu,Pahing,Wukir
,Senin,Wage,Kurantil
,Jumat,Pon,Kurantil
,Minggu,Kliwon,Tolu
,Sabtu,Legi,Tolu
,Kamis,Legi,Gumbreg
,Jumat,Pahing,Gumbreg
,Sabtu,Kliwon,Warigalit
,Selasa,Pon,Wariagung
,Rabu,Wage,Wariagung
,Senin,Wage,Julungwangi
,Kamis,Pahing,Julungwangi
,Minggu,Kliwon,Sungsang
,Sabtu,Legi,Sungsang
,Kamis,Legi,Galungan
,Jumat,Pahing,Galungan
,Senin,Kliwon,Kuningan
,Kamis,Pon,Kuningan
,Minggu,Legi,Langkir
,Selasa,Pon,Langkir
,Rabu,Wage,Langkir
,Jumat,Legi,Langkir
,Sabtu,Pahing,Langkir
,Senin,Wage,Mandasiya
,Kamis,Pahing,Mandasiya
,Jumat,Pon,Mandasiya
,Minggu,Kliwon,Julungpujut
,Rabu,Pon,Julungpujut
,Sabtu,Legi,Julungpujut
,Selasa,Wage,Pahang
,Jumat,Pahing,Pahang
,Senin,Kliwon,Kuruwelut
,Kamis,Pon,Kuruwelut
,Minggu,Legi,Marakeh
,Jumat,Legi,Marakeh
,Sabtu,Pahing,Marakeh
,Kamis,Pahing,Tambir
,Jumat,Pon,Tambir
,Rabu,Pon,Madangkungan
,Selasa,Wage,Maktal
,Kamis,Legi,Maktal
,Sabtu,Kliwon,Wuye
,Minggu,Legi,Manahil
,Selasa,Pon,Manahil
,Jumat,Legi,Manahil
,Sabtu,Pahing,Manahil
,Senin,Wage,Prangbakat
,Kamis,Pahing,Prangbakat
,Jumat,Pon,Prangbakat
,Minggu,Kliwon,Bala
,Sabtu,Legi,Bala
,Selasa,Wage,Wugu
,Kamis,Legi,Wugu
,Jumat,Pahing,Wugu
,Senin,Kliwon,Wayang
,Sabtu,Kliwon,Wayang
,Minggu,Legi,Kulawu
,Selasa,Pon,Kulawu
,Rabu,Wage,Kulawu
,Jumat,Legi,Kulawu
,Sabtu,Pahing,Kulawu
,Senin,Wage,Dukut
,Kamis,Pahing,Dukut
,Jumat,Pon,Dukut
,Minggu,Kliwon,Watugunung
,Rabu,Pon,Watugunung
,Sabtu,Legi,Watugunung
