id,dino,pasaran,neptu_dino,neptu_pasaran,neptu_dino_pasaran,kang_becik,tegese,contone
,Minggu,Pon,5,7,12,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Senin,Wage,4,4,8,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Selasa,Kliwon,3,8,11,kembang/godhong,"sing ditandur bakal kembang lan godhonge akeh, sing dipanen kembang utawa godhonge","mawar, mbako, suruh"
,Rabu,Legi,7,5,12,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Kamis,Pahing,8,9,17,oyot,"sing ditandur bakal oyote kuat, sing dipanen oyote","tela, pohong, kentang"
,Jumat,Pon,6,7,13,oyot,"sing ditandur bakal oyote kuat, sing dipanen oyote","tela, pohong, kentang"
,Sabtu,Wage,9,4,13,oyot,"sing ditandur bakal oyote kuat, sing dipanen oyote","tela, pohong, kentang"
,Minggu,Kliwon,5,8,13,oyot,"sing ditandur bakal oyote kuat, sing dipanen oyote","tela, pohong, kentang"
,Senin,Legi,4,5,9,oyot,"sing ditandur bakal oyote kuat, sing dipanen oyote","tela, pohong, kentang"
,Selasa,Pahing,3,9,12,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Rabu,Pon,7,7,14,uwit,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Kamis,Wage,8,4,12,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Jumat,Kliwon,6,8,14,uwit,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Sabtu,Legi,9,5,14,uwit,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Minggu,Pahing,5,9,14,uwit,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Senin,Pon,4,7,11,kembang/godhong,"sing ditandur bakal kembang lan godhonge akeh, sing dipanen kembang utawa godhonge","mawar, mbako, suruh"
,Selasa,Wage,3,4,7,kembang/godhong,"sing ditandur bakal kembang lan godhonge akeh, sing dipanen kembang utawa godhonge","mawar, mbako, suruh"
,Rabu,Kliwon,7,8,15,kembang/godhong,"sing ditandur bakal kembang lan godhonge akeh, sing dipanen kembang utawa godhonge","mawar, mbako, suruh"
,Kamis,Legi,8,5,13,oyot,"sing ditandur bakal oyote kuat, sing dipanen oyote","tela, pohong, kentang"
,Jumat,Pahing,6,9,15,kembang/godhong,"sing ditandur bakal kembang lan godhonge akeh, sing dipanen kembang utawa godhonge","mawar, mbako, suruh"
,Sabtu,Pon,9,7,16,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Minggu,Wage,5,4,9,oyot,"sing ditandur bakal oyote kuat, sing dipanen oyote","tela, pohong, kentang"
,Senin,Kliwon,4,8,12,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Selasa,Legi,3,5,8,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Rabu,Pahing,7,9,16,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Kamis,Pon,8,7,15,kembang/godhong,"sing ditandur bakal kembang lan godhonge akeh, sing dipanen kembang utawa godhonge","mawar, mbako, suruh"
,Jumat,Wage,6,4,10,uwit,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Sabtu,Kliwon,9,8,17,oyot,"sing ditandur bakal oyote kuat, sing dipanen oyote","tela, pohong, kentang"
,Minggu,Legi,5,5,10,uwit,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Senin,Pahing,4,9,13,oyot,"sing ditandur bakal oyote kuat, sing dipanen oyote","tela, pohong, kentang"
,Selasa,Pon,3,7,10,uwit,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Rabu,Wage,7,4,11,kembang/godhong,"sing ditandur bakal kembang lan godhonge akeh, sing dipanen kembang utawa godhonge","mawar, mbako, suruh"
,Kamis,Kliwon,8,8,16,uwoh,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
,Jumat,Legi,6,5,11,kembang/godhong,"sing ditandur bakal kembang lan godhonge akeh, sing dipanen kembang utawa godhonge","mawar, mbako, suruh"
,Sabtu,Pahing,9,9,18,uwit,"sing ditandur bakal kuat lan gede kayune, sing dipanen kayune","jati, pring"
