id,wuku,becik_kanggo,ala_kanggo
1,Sinta,"Ngusadani, nenumbali, gawe sarat supaya murah udan, memantu masang pengasihan","Olah kaweruh, nenandur, ngadan-adani, bebakal pekarangan"
2,Landep,"Anyabung pedang, naleni pager, gawe wisaya iwak lan sakpanunggalane","Ngalih panggonan, memantu barusahan, gawe kori (lawang)"
3,Wukir,"Memantu, dandan-dandan sembarang rusak, memitran tulus ","Tetirah, nambani lelara, nenumbali, ngedegake omah lan sakpanuggalane"
4,Kurantil,Golek pawestri gelis oleh,"Memantu, nglumpukake wong ora bisa kumpul, memitran sulaya ing tembe, nenandur ora tuwuh"
5,Tolu,"Golek pangupaya jiwa, nambani lelara, nenandur, ngalih panggonan, memantu sakpanunggalane","Anyidra, lelungan, ngabotohan, angengundhuh sambarang palakirna"
6,Gumbreg,"Bebesanan, anggaota kauntungan","Nenandur kitri, ngedegake omah, ngadan-adani samubarang gawe sarta lelungan"
7,Warigalit,"Tepung prasanakan, memule marang leluhur, ngilekake banyu, lunga sesanjan","Pagaweyan laku silib, lelungan adoh, mangsah perang"
8,Warigagung,"Ngadegake omah, nenandur, bebesanan, anggeguru pangiwakan","Lelungan, laku anenamur, ngalih panggonan, amilala ingon-ingon"
9,Julungwangi,"Lunga tirakat oleh Wahyu, ambubak lemah, nenandur, angelar kaweruh sinugu","Lelungan adoh, ngalih panggonan, duwe gawe, ngadegake samubarang, anggaota pangupaya jiwo,nambani anak"
10,Sungsang,"Golek panagupaya jiwa, ngalih panggonan, gawe prasanaan, bebesanan ambebara lan nenandur","Memenek, negor kitri, lelungan adoh suka-suka, rame-rame, mangsah perang iku kabeh ala"
11,Galungan,"Lunga tirakat, sesanja ora adoh, anggeguru pangawikan ","Nandur pring, lelungan adoh, nambani wong lara, memantu, dadi priyayi, ngadegake omah"
12,Kuningan,"Golek sanak, anggaota, mitulungi wong","Nenandur, maju omah, duwe gawe mantu lan sapanunggalane"
13,Langkir,"Nenandur, lelungan, bebesanan, marangi gegaman, nambani wong lara","Nyidra, nandukake prakara, pancakara lan sapanunggalane"
14,Mandasiya,"Amemitran, nambani wong lara, duwe gawe mantu, lan sakpanunggalane","Lelungan, golek pangupayajiwa, gawe sumur, bebakal pekarangan"
15,Julungpujut,"Golek pangupayajiwa, amilala rajakaya, nandur pala kirna","Ngadan - adani, sesanja"
16,Pahang,"Nambani lelara, nandur samubarang, ngarah pawestri","Lelungan adoh, golek pangupayajiwa, ngadan - adani"
17,Kuruwelut,"Nontoni, ngrancang bakal omah","Lelungan, dandan-dandan, nambani lelara, nandur jujutan"
18,Marakeh,"Nenandur, masang tumbal, dandan omah, mangun pekarangan","Anggaoata, asih-asihan, alih-alihan"
19,Tambir,"Lunga dagang, golek pangupayajiwa, nandur pala kirna, nancebake turus","Lunga tirakat, anggeguru pangawikan, mangsah perang"
20,Medangkungan,"Alaki rabi, ngadegake omah, golek sarana","Nandukake para padu, anyidra"
21,Maktal,"Duwe gawe mantu, nekakake wong sambatan, dandan - dandan, amemuja katarima","Lelungan, ngalih panggonan, amantokake"
22,Wuye,"Golek manuk, nenandur, memule kaduluran, lelungan golek rejeki","Lelungan adoh, angapus - apusi"
23,Manahil,"Lunga golek tamba / sarat, gawe bendungan, bebakal kuburan, nindakake para padu","Nibakake wiji, apek wiji, memantu, anggaoata"
24,Prangbakat,"Anggaoata samaran, rawat ing pasimpenan, meminta padagangan, matrap paukuman ","Lelungan, ngedekake omah, nandur kitri, golek pagaweyan, nambani wong lara"
25,Bala,"Tilik mesan mitra, amet saraya mirukunake pawongan, rerembukan sabiyantu","Medarake pangawikan, ambabar pangajaran, dandan - dandan"
26,Wugu,"Dandan - dandan omah, duwe gawe mantu, lungo golek rejeki, nandur pala kependem","Amemitran sulaya ing tembe, arerukunan, golek pangan"
27,Wayang,"Golek rejeki, anggeguru pangawikan, ulah kawignyan ","Lunga tilik wong lara, ngadan - adani, mangsah perang"
28,Kulawu,"Nambani wong lara, palakrama,, wewayuhan, amemitran, rerukunan","Lelungan adoh, alih - alihan, ambukak alas"
29,Dukut,"Dandan-dandan, memangun kitri, karang kirna, golek pawestri, gawe tamba lan sarat","lunga golek pangupayajiwa, anggeguru pangawikan"
30,Watugunung,"Lunga golek tamba, nandur samubarang, memitran, bebesanan dadi","Gawe pager pekarangan, sesimpen ing parawatan "
