id,wuku,becik_kanggo,ala_kanggo
1,Sinta,"Ngusadani, nenumbali, gawe sarat supaya murah udan, memantu masang pengasihan",
2,Landep,,
3,Wukir,"Memantu, dandan-dandan sembarang rusak, memitran tulus ",
4,Kurantil,,
5,Tolu,"Golek pangupaya jiwa, nambani lelara, nenandur, ngalih panggonan, memantu sakpanunggalane",
6,Gumbreg,,
7,Warigalit,,
8,Warigagung,,
9,Julungwangi,,"Lelungan adoh, ngalih panggonan, duwe gawe, ngadegake samubarang, anggaota pangupaya jiwo,nambani anak"
10,Sungsang,,
11,Galungan,,"Nandur pring, lelungan adoh, nambani wong lara, memantu, dadi priyayi, ngadegake omah"
12,Kuningan,"Golek sanak, anggaota, mitulungi wong",
13,Langkir,"Nenandur, lelungan, bebesanan, marangi gegaman, nambani wong lara",
14,Mandasiya,"Amemitran, nambani wong lara, duwe gawe mantu, lan sakpanunggalane",
15,Julungpujut,,
16,Pahang,"Nambani lelara, nandur samubarang, ngarah pawestri",
17,Kuruwelut,,"Lelungan, dandan-dandan, nambani lelara, nandur jujutan"
18,Marakeh,,
19,Tambir,,
20,Medangkungan,,
21,Maktal,"Duwe gawe mantu, nekakake wong sambatan, dandan - dandan, amemuja katarima",
22,Wuye,,
23,Manahil,"Lunga golek tamba / sarat, gawe bendungan, bebakal kuburan, nindakake para padu",
24,Prangbakat,,"Lelungan, ngedekake omah, nandur kitri, golek pagaweyan, nambani wong lara"
25,Bala,"Tilik mesan mitra, amet saraya mirukunake pawongan, rerembukan sabiyantu",
26,Wugu,,
27,Wayang,,"Lunga tilik wong lara, ngadan - adani, mangsah perang"
28,Kulawu,"Nambani wong lara, palakrama,, wewayuhan, amemitran, rerukunan",
29,Dukut,"Dandan-dandan, memangun kitri, karang kirna, golek pawestri, gawe tamba lan sarat",
30,Watugunung,"Lunga golek tamba, nandur samubarang, memitran, bebesanan dadi",
