id,wuku,becik_kanggo,ala_kanggo
1,Sinta,,"Nenandur, bebakal pekarangan"
2,Landep,,
3,Wukir,,
4,Kurantil,,
5,Tolu,Nenandur,
6,Gumbreg,,Nenandur kitri
7,Warigalit,,
8,Warigagung,Nenandur,
9,Julungwangi,"Ambubak lemah, nenandur",
10,Sungsang,"Golek pangupaya jiwa, nenandur",
11,Galungan,,Nandur pring
12,Kuningan,,Nenandur
13,Langkir,Nenandur,
14,Mandasiya,,
15,Julungpujut,"Golek pangupayajiwa, amilala rajakaya, nandur pala kirna",
16,Pahang,,
17,Kuruwelut,,Nandur jujutan
18,Marakeh,"Nenandur, mangun pekarangan",
19,Tambir,"Golek pangupayajiwa, nandur pala kirna, nancebake turus",
20,Medangkungan,,
21,Maktal,,
22,Wuye,Nenandur,
23,Manahil,,
24,Prangbakat,,Nandur kitri
25,Bala,,
26,Wugu,Nandur pala kependem,
27,Wayang,,
28,Kulawu,,
29,Dukut,,
30,Watugunung,Nandur samubarang,
