id,no_wuku,wuku,dino,pasaran,padewan,paringkelan,pandagon,paarasan,pancasuda,kamarokan
,1,Sinta,Minggu,Pahing,Sri,Tungle,Dangu,Lakuning Rembulan,Wasesa Segara,Nuju Pati
,1,Sinta,Senin,Pon,Indra,Aryang,Dangu,Aras Tuding,Sumur Sinaba,Kala Tinantang
,1,Sinta,Selasa,Wage,Guru,Wurukung,Dangu,Lakuning Bumi,Lebu Katiyup Angin,Mantri Sinarojo
,1,Sinta,Rabu,Kliwon,Yamadipati,Paningron,Dangu,Lakuning Srengenge,Lebu Katiyup Angin,Nuju Padu
,1,Sinta,Kamis,Legi,Rudra,Uwas,Jagur,Lakuning Lintang,Satriya Wibawa,Sanggar Waringin
,1,Sinta,Jumat,Pahing,Brama,Mawulu,Gigis,Lakuning Srengenge,Tunggak Semi,Mantri Sinarojo
,1,Sinta,Sabtu,Pon,Kala,Tungle,Kerangan,Lakuning Banyu,Wasesa Segara,Nuju Pati
,2,Landep,Minggu,Wage,Uma,Aryang,Nohan,Lakuning Angin,Satriya Wibawa,Kala Tinantang
,2,Landep,Senin,Kliwon,Sri,Wurukung,Wogan,Aras Kembang,Satriya Wirang,Macan Ketawan
,2,Landep,Selasa,Legi,Indra,Paningron,Tulus,Lakuning Geni,Wasesa Segara,Nuju Padu
,2,Landep,Rabu,Pahing,Guru,Uwas,Wurung,Lakuning Banyu,Wasesa Segara,Sanggar Waringin
,2,Landep,Kamis,Pon,Yamadipati,Mawulu,Dadi,Lakuning Srengenge,Satriya Wirang,Macan Ketawan
,2,Landep,Jumat,Wage,Rudra,Tungle,Dangu,Aras Pepet,Sumur Sinaba,Nuju Pati
,2,Landep,Sabtu,Kliwon,Brama,Aryang,Jagur,Lakuning Bumi,Tunggak Semi,Sanggar Waringin
,3,Wukir,Minggu,Legi,Kala,Wurukung,Gigis,Aras Pepet,Sumur Sinaba,Macan Ketawan
,3,Wukir,Senin,Pahing,Uma,Paningron,Kerangan,Lakuning Lintang,Bumi Kapetak,Nuju Padu
,3,Wukir,Selasa,Pon,Sri,Uwas,Nohan,Aras Pepet,Satriya Wibawa,Sanggar Waringin
,3,Wukir,Rabu,Wage,Indra,Mawulu,Wogan,Aras Tuding,Satriya Wibawa,Macan Ketawan
,3,Wukir,Kamis,Kliwon,Guru,Tungle,Tulus,Lakuning Banyu,Bumi Kapetak,Kala Tinantang
,3,Wukir,Jumat,Legi,Yamadipati,Aryang,Wurung,Aras Tuding,Satriya Wirang,Sanggar Waringin
,3,Wukir,Sabtu,Pahing,Rudra,Wurukung,Dadi,Lakuning Geni,Satriya Wibawa,Macan Ketawan
,4,Kurantil,Minggu,Pon,Brama,Paningron,Dangu,Lakuning Lintang,Bumi Kapetak,Nuju Padu
,4,Kurantil,Senin,Wage,Kala,Uwas,Jagur,Lakuning Geni,Wasesa Segara,Sanggar Waringin
,4,Kurantil,Selasa,Kliwon,Uma,Mawulu,Gigis,Aras Tuding,Sumur Sinaba,Nuju Pati
,4,Kurantil,Rabu,Legi,Sri,Tungle,Kerangan,Aras Tuding,Sumur Sinaba,Kala Tinantang
,4,Kurantil,Kamis,Pahing,Indra,Aryang,Nohan,Lakuning Bumi,Lebu Katiyup Angin,Mantri Sinarojo
,4,Kurantil,Jumat,Pon,Guru,Wurukung,Wogan,Lakuning Lintang,Lebu Katiyup Angin,Macan Ketawan
,4,Kurantil,Sabtu,Wage,Yamadipati,Paningron,Tulus,Lakuning Lintang,Satriya Wirang,Nuju Padu
