id,no_wuku,nama_wuku,dewane,watek_budi_pangerti,bilahi_bebaya,sesaji_ruwat,tindih_ruwat,selamatan_sega,selamatan_iwak,salawat,donga_slamet,pangupaya_jiwa,tamba_yen_lara,keterangan_barang_salawat
,1,Sinta,Sang Hyang Nyamadipati,"rebut arepan, gede kanepsone ora srantan kerep katiwasan, lembut budine enak wicarane lan cupet pangandele, nduweni kamukten, peritahe panas ing ngarep adem ing mburi, dadi pangaubane wong lara sangsara lan wong minggat, awet anom kebat sembarang gawene, weruh ing wangsit, ngatonake donyane, pradah ninging ora sarju, prihatinan, gede piyangkuhe tur mandita.",wayah Setengah Tuwuh Ora Dreman sarta Rada Akeh Laline,"GEDANG MORO SEBO kang tuwuh saktundun lan ARESARESAN (pala kependem , kasampar lan gumantung) sarta DAGING karo WOHINGNDAMI",21 PICIS,SEGA PULEN dangdangan,KEBO tukon 21 KETENG tanpa nganyang diolah pindang,4 keteng,Tolak Bilahi,ANDERES,"GODONG LUNTAS , utawa GODONG WALUH lan ASEM winor jamu",
,2,Landep,Sang Hyang Mahadewa,"bagus warnane tur ayu garwane, dreman anak, padang atine, de men samadi, parentahe panas ngarep adem ing buri, dadi pangaubaning wong lara sangsara lan wong minggat sarta ingoningoning Wong Agung wredine kanggep pangawulane, ngatonake kasugihane, pradah nanging ora sarju, gede bebudene akeh begjane, padang atine tur elingan lan bisa madangake atine liyan .",amarga Karubuhan Kekayon sarta Kurang Panarimane,MOJO 30 Glundung lan ARESARESAN,4 PICIS,SEGA TUMPENG dangdangan,MENJANGAN kinalak ginecok bakar,4 keteng,Kabula,ANDERES,"GODONG LUNTAS , utawa KEMBANG PULU winor jamu",
,3,Wukir,Sang Hyang Mahayekti,"ora kena tinangguh bebudine, pradah berboja kramane, sak enggon-enggone bisa paretah marang sakpadane, andap asor bebudine lan ing tembe bakal nemu kamukten Bagus warnane ugo arum wicarane, kanggep pangwulane, ora kena kaungkulan karo sakpadane, limpat sembarang gawe, angatokake kadonyane, pradah nanging ora sarju, adoh katon becik cedak katon ala, su ngil lan angel bebudine, pakewuhan nanging pradah ing pangan tur rilan lairbatin, pinter marang kagunan lan kasusastran.",amarga Kinaniaya dening sakpadane sarta Kasusahan Atine dewe,KERAMBIL saktabone 4 Glundung lan ARESARESAN,5 PICIS,SEGA WUDUK dangdangan,PITIK PUTIH sakwayahe linembaran kuluban warna : 5,4 keteng,Rajukna,UNDAGIYA(suwita),GODONG PAKIS binakar winor jamu,
,4,Kurantil,Sang Hyang Langsur,"bisa amet atining liyan, narima ing satitah, ora duwe kanepson, nang ing puguh budine, ing tembe antuk kabegjan, ora kena diaubi amarga saka panasten, ler weh ora bisa sim pen, satibatibane kangelan nanging diasihi wong Agung lan sembarang karepe rada ngiwa, kalamangsane bisa sugih uga bisa melarat.",amarga tiba saka Memenek sarta Kapitenah dening wong Agung,NANAS sakkuncunge 7 Iji lan ARESARESAN,7 PICIS,SEGA TUMPENG dangdangan,PITIK sakwayahe dipecel,7 keteng,Rajukna,LAKU DAGANG,GODONG TERONG winor jamu,
,5,Tolu,Sang Hyang Bayu,"kukuh bakuh pambekane mintir lan tatag budine lugu wicarane, wulet tur kanggo ing kaprajuritan, ora bisa sareh/ririh kebat cukat ing gawe sarta betah melek wengi, ngatokake donyane, pradah nanging ora sarju, ing tembe bakal nemu kabegjan lan kamuktene,angkuh tur ambedidig na nging ora langgeng, demen dora carita dene akeh kang resep sing pada mulat marang deweke.",amarga Kasungu utawa Kasiyung sarta kakehan kang dipikir,SEMANGKA wu tuhan 7 gelundung lan ARESARESAN,3 PICIS,SEGA WUDUK dangdangan,PITIK,3 keteng,Kabula,NGINGU BEBEK,BABAKAN SUWEG utawa KUNCI lan KEN CUR binakar,
,6,Gumbreg,Sang Hyang Cakra,"bisa ngungkuli sakpadane, ujar sapisan tur pratits, rila karana rai, pare ntahe adem ngarep panas ing buri, dadi pangaubane kadang wargane, kesit budine tur pinilala ing wong Agung, arum manis lan juweh wicarane, akeh kang resep sing pada mulat marang deweke, kanggep panga wulane, luhur piyangkuhe lan gede daulate, lila ing donyane ora nganggo raine, sugih kojah lan sugih ilmu atine sumucisuci nanging ora ngerti marang wekasane, temahan wigar anggagar tumrap ilmune.",amarga KABALABAG utawa KANCEMPLUNG BANYU sarta BINENDON ing wong Agung,BENEMAN GEMBILI 10 Iji lan ARESARESAN,4 PICIS,SEGA PERA dangdangan,PITIK BARUMBUN kang lumancur dipindang,4 keteng,Rajukna,NGUKIRUKIRA,BABAKAN SUWEG utawa GODONG SU WEG winor jamu,
,7,Warigalit,Sang Hyang Asmara,"bagus warnane, dadi kembanging pasamuwan, kerep rabi, dengki serei gede but arepane, ewuh kekarepane lumuh marang pajagongan, karem saba ing sepi, mungguh dadi pa ndita ana darajate amarga demen mangun semedi sarta prihatinan,saenggonenggon bisa dadi nanging ora lana (langgeng).",amarga DIEMBETAKE marang prakaraning liyan sarta LALEN,GEDANG GARAITA kang suluh satundun lan ARESARESAN,4 PICIS,SEGA URA dangdangan,KEBO RAJAPAN tukon brandon digecok,8 keteng,Tolak Bilahi,MANGUNMANGUNA,KAPAS SAWIT utawa GODONGKAPAS binenema winor jamu,
,8,Warigagung,Sang Hyang Maharesi,"akeh kamelikane lan abot sanggane, rame arum manis wicarane, ke dep lamun aparentah, wanter budine, bisa ngupaya ing pangane, lila peparonan, begjane ketemu ana ing tembe buri, sugih guna ora ketara, nanging linyok sajroning atine.",amarga KABENDON ing prasanake sarta KAPEDOTAN SIH ingkang aweh sandang pangan,UWI WUTUHAN ingedang lan ARESARESAN,5 PICIS,SEGA WUDUK dangdangan,BEBEK PUTIH diolah gegurihan lan kuluban 5 warna,5 keteng,Rasul,TEMEN SEMBARANG GAWE,KAPAS SAWIT utawa GODO NG KAPAS binakar,
,9,Julungwangi,Sang Hyang Sambu,"sembarang gandane angambarambar, lire sabarang karepe durung nganti kelakon uwis kajuwara ing wong akeh, cepak kabegjane, lilan lan pradah budine nanging kudu kina tonake pawewehe, receh uga manis arum wicarane tur ginugu sabasane sarta kanggep pangawulane, kina sihan ing wong akeh, bisa sembarang gawe nanging sajroning atine bosenan lan amrih dudu.",amarga TINEBAK ING MACAN sarta sebab saka ATINE GEDE nanging ORA KASEMBADAN karepe lan,DUREN 7 glundung lan ARESARESAN,KUCING,SEGA KABULI dangdangan,PITIK ABANG winor ing sega,,Tolak Bilahi,ADOL TIMAH,KEMANGI SAWIT utawa GODONG SERE,KUCING
,10,Sungsang,Sang Hyang Gana,"petengan aten, kuwat/rosa angkat junjung, anggalidik ora bisa nganggur keras budine, karem marang darbeking liyan, boros lan adoh begjane, murka pambekane marang penggawe kang kurang patut, lila ing donyane nanging ora karana rai, gede kanepsone lan isih kena dipalangi.",amarga KAWSEN (kena ing wesi) sarta sebab saka BINGUNG ATINE amarga kerep ANYIDRANI JANJI,"JAGUNG 40 ontong , lan ARESARESAN",10 PICIS,SEGA MEGANA dangdangan,"BEBEK lan PITIK sakarepe kang olah , lan janganan warna 9 winor ing sega megana mau",10 keteng,Kabula,KLITIKKLITIKA,TEMU SAWIT utawa BONGGOL GEDANG,
