id,dino_lahir,pasaran_lahir,pakarti_rejeki,pakarti_badan,pakaryan
,Minggu,Pahing,Wadhuk,Dubur,Sangat cocok menjadi TUKANG KAYU atau BERDAGANG KLONTHONG dan BUAH - BUAHAN
,Senin,Pon,Wadhuk,Cangkem,"Sebaiknya berjualan MAKANAN , IKAN - IKANAN atau DAGING (rojo koyo)"
,Selasa,Wage,Cucuk,Silit,Sebaiknya BERDAGANG HEWAN (Blantik) dan lebih baik lagi bertapa agar dapat menjadi seorang PARANORMAL
,Rabu,Kliwon,Silit,Silit,Sebaiknya BERDAGANG HEWAN (Blantik) dan lebih baik lagi bertapa agar dapat menjadi seorang PARANORMAL
,Kamis,Legi,Cucuk,Tangan,Sebaiknya menjadi KEMASAN (poro) dan berjualan BERAS (hasil bumi)
,Jumat,Pahing,Silit,Silit,Sebaiknya BERDAGANG HEWAN (Blantik) dan lebih baik lagi bertapa agar dapat menjadi seorang PARANORMAL
,Sabtu,Pon,Cucuk,Tungkak,Baik menjadi seorang INTERTAINER (artis) dapat juga BETERNAK dan berjualan KLONTHONG tetapi jangan berlebihan
,Minggu,Wage,Silit,Mata,Baik menjadi tukang CELEP atau MENYOGA dan berdagang KAIN atau MINYAK dan BERAS tetapi jangan berlebihan
,Senin,Kliwon,Silit,Kuping,"Sebaiknya menjadi PENJAHIT , PENATU atau BERDAGANG KAIN / KONVEKSI"
,Selasa,Legi,Wadhuk,Tungkak,Baik menjadi seorang INTERTAINER (artis) dapat juga BETERNAK dan berjualan KLONTHONG tetapi jangan berlebihan
,Rabu,Pahing,Cucuk,Tungkak,Baik menjadi seorang INTERTAINER (artis) dapat juga BETERNAK dan berjualan KLONTHONG tetapi jangan berlebihan
,Kamis,Pon,Silit,Silit,Sebaiknya BERDAGANG HEWAN (Blantik) dan lebih baik lagi bertapa agar dapat menjadi seorang PARANORMAL
,Jumat,Wage,Cucuk,Irung,Pantasnya menjadi PEMIMPIN dibidang usaha PETERNAKAN dan berdagang KUSEN PINTU(mebel) atau BESI
,Sabtu,Kliwon,Wadhuk,Mata,Baik menjadi tukang CELEP atau MENYOGA dan berdagang KAIN atau MINYAK dan BERAS tetapi jangan berlebihan
,Minggu,Legi,Cucuk,Irung,Pantasnya menjadi PEMIMPIN dibidang usaha PETERNAKAN dan berdagang KUSEN PINTU(mebel) atau BESI
,Senin,Pahing,Cucuk,Tangan,Sebaiknya menjadi KEMASAN (poro) dan berjualan BERAS (hasil bumi)
,Selasa,Pon,Cucuk,Irung,Pantasnya menjadi PEMIMPIN dibidang usaha PETERNAKAN dan berdagang KUSEN PINTU(mebel) atau BESI
,Rabu,Wage,Wadhuk,Cangkem,"Sebaiknya berjualan MAKANAN , IKAN - IKANAN atau DAGING (rojo koyo)"
,Kamis,Kliwon,Cucuk,Tungkak,Baik menjadi seorang INTERTAINER (artis) dapat juga BETERNAK dan berjualan KLONTHONG tetapi jangan berlebihan
,Jumat,Legi,Wadhuk,Cangkem,"Sebaiknya berjualan MAKANAN , IKAN - IKANAN atau DAGING (rojo koyo)"
,Sabtu,Pahing,Silit,Irung,Pantasnya menjadi PEMIMPIN dibidang usaha PETERNAKAN dan berdagang KUSEN PINTU(mebel) atau BESI
,Minggu,Pon,Silit,Kuping,"Sebaiknya menjadi PENJAHIT , PENATU atau BERDAGANG KAIN / KONVEKSI"
,Senin,Wage,Wadhuk,Tungkak,Baik menjadi seorang INTERTAINER (artis) dapat juga BETERNAK dan berjualan KLONTHONG tetapi jangan berlebihan
,Selasa,Kliwon,Wadhuk,Cangkem,"Sebaiknya berjualan MAKANAN , IKAN - IKANAN atau DAGING (rojo koyo)"
,Rabu,Legi,Silit,Kuping,"Sebaiknya menjadi PENJAHIT , PENATU atau BERDAGANG KAIN / KONVEKSI"
,Kamis,Pahing,Wadhuk,Mata,Baik menjadi tukang CELEP atau MENYOGA dan berdagang KAIN atau MINYAK dan BERAS tetapi jangan berlebihan
,Jumat,Pon,Cucuk,Tangan,Sebaiknya menjadi KEMASAN (poro) dan berjualan BERAS (hasil bumi)
,Sabtu,Wage,Cucuk,Tangan,Sebaiknya menjadi KEMASAN (poro) dan berjualan BERAS (hasil bumi)
,Minggu,Kliwon,Cucuk,Tangan,Sebaiknya menjadi KEMASAN (poro) dan berjualan BERAS (hasil bumi)
,Senin,Legi,Silit,Mata,Baik menjadi tukang CELEP atau MENYOGA dan berdagang KAIN atau MINYAK dan BERAS tetapi jangan berlebihan
,Selasa,Pahing,Silit,Kuping,"Sebaiknya menjadi PENJAHIT , PENATU atau BERDAGANG KAIN / KONVEKSI"
,Rabu,Pon,Wadhuk,Dubur,Sangat cocok menjadi TUKANG KAYU atau BERDAGANG KLONTHONG dan BUAH - BUAHAN
,Kamis,Wage,Silit,Kuping,"Sebaiknya menjadi PENJAHIT , PENATU atau BERDAGANG KAIN / KONVEKSI"
,Jumat,Kliwon,Wadhuk,Dubur,Sangat cocok menjadi TUKANG KAYU atau BERDAGANG KLONTHONG dan BUAH - BUAHAN
,Sabtu,Legi,Wadhuk,Dubur,Sangat cocok menjadi TUKANG KAYU atau BERDAGANG KLONTHONG dan BUAH - BUAHAN
